Sample,IoU_Score,Grade
1,0.02599614031104552,0
2,0.012393887945670628,0
3,0.0032170254887404106,0
4,0.0,0
5,0.04511026954778347,0
6,0.0027501586629997883,0
7,0.0,0
8,0.02198952879581152,0
9,0.0,0
10,0.0,0
11,0.06427145708582835,0
12,0.0,0
13,0.026614530776992936,0
14,0.016114725014784153,0
15,0.007322175732217573,0
16,0.03864925471573671,0
17,0.02303030303030303,0
18,0.011895910780669145,0
19,0.0,0
20,0.0,0
21,0.0719539494723377,0
22,0.0008559201141226819,0
23,0.004834031582339671,0
24,0.0,0
25,0.043505516549648945,0
26,0.05144646585147629,0
27,0.03473329789119263,0
28,0.0,0
29,0.0,0
30,0.021088718055266985,0
31,0.030049566294919453,0
32,0.015225590166224334,0
33,0.03388667855672932,0
34,0.0,0
35,0.0,0
36,0.0,0
37,0.0,0
38,0.0,0
39,0.007849293563579277,0
40,0.040038334575657544,0
41,0.025495213723817647,0
42,0.04911612152005928,0
43,0.0,0
44,0.0,0
45,0.14642024044500268,0
46,0.05381624718641293,0
47,0.0,0
48,0.008090614886731391,0
49,0.04445318646734855,0
50,0.0993367722918202,0
51,0.031476997578692496,0
52,0.0,0
53,0.0,0
54,0.057282475906067595,0
55,0.0,0
56,0.014833473271760425,0
57,0.0,0
58,0.0,0
59,0.053472987872105845,0
60,0.0,0
61,0.07259128904531456,0
62,0.0,0
63,0.0,0
64,0.0,0
65,0.005757353710876164,0
66,0.00047602046888016187,0
67,0.004338140461953336,0
68,0.0,0
69,0.0021280711936544788,0
70,0.029037749073795936,0
71,0.04487271681288652,0
72,0.042896425297891845,0
73,0.021966880702940183,0
74,0.0,0
75,0.02326388888888889,0
76,0.0,0
77,0.0,0
78,0.0,0
79,0.0,0
80,0.0,0
81,0.0,0
82,0.0,0
83,0.022704339051463168,0
84,0.0289193302891933,0
85,0.0,0
86,0.04138830047254359,0
87,0.0,0
88,0.0539880629408573,0
89,0.010170293282876065,0
90,0.0,0
91,0.015530629853321829,0
92,0.0,0
93,0.032606941081517356,0
94,0.040097799511002445,0
95,0.05093600348280366,0
96,0.0333276653630335,0
97,0.03667724028548771,0
98,0.0,0
99,0.005834512022630835,0
100,0.009427325172365273,0
101,0.01632882882882883,0
102,0.0,0
103,0.056820849964780464,0
104,0.0,0
105,0.0011250401800064287,0
106,0.0,0
107,0.004338636110802091,0
108,0.032705913763182486,0
109,0.0,0
110,0.0,0
111,0.003384731101918014,0
112,0.004027020005196155,0
113,0.02766599597585513,0
114,0.028494110156001274,0
115,0.0,0
116,0.0,0
117,0.0,0
118,0.04201400466822274,0
119,0.030735796336541447,0
120,0.0,0
121,0.014685792349726777,0
122,0.03430531732418525,0
123,0.0,0
124,0.03599208965062624,0
125,0.0007038948850305022,0
126,0.0,0
127,0.0007585814526834819,0
128,0.06925403225806452,0
129,0.0,0
130,0.02576601671309192,0
131,0.0,0
132,0.0,0
133,0.045930356761375773,0
134,0.05145750650061585,0
135,0.0,0
136,0.060770156438026475,0
137,0.0,0
138,0.007043172035998435,0
139,0.07966517534997836,0
140,0.04048176647708264,0
141,0.005992373343017977,0
142,0.013035848583604914,0
143,0.05113930605903677,0
144,0.046811000585137506,0
145,0.0,0
146,0.040780911062906725,0
147,0.0,0
148,0.0,0
149,0.05118050266565118,0
150,0.0,0
